"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"4.111.485,16";"33.449.150,10";"26.289.298,10";"2.586.965,30";
"08/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"- 5.087.257,10";"26.578.233,37";"19.863.826,28";"1.087.186,62";
"05/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"1.470.811,76";"27.150.227,79";"26.446.231,57";"4.920.365,21";
"07/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"2.261.436,01";"27.256.568,80";"33.455.653,97";"2.877.526,00";
"03/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"2.201.843,44";"25.642.048,61";"25.693.086,69";"4.099.729,68";
"02/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"5.147.451,41";"24.950.702,54";"25.059.333,33";"2.687.538,04";
"05/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"2.483.315,60";"14.576.678,22";"14.311.267,08";"5.674.534,89";
"02/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"4.151.756,32";"14.034.542,94";"13.964.644,52";"11.814.127,22";
"03/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"818.923,14";"13.784.096,88";"13.719.609,14";"2.690.388,92";
"08/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"23.342.941,68";"14.624.985,24";"10.894.408,17";"3.205.697,09";
"06/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"3.065.449,67";"18.757.224,86";"14.793.597,16";"9.698.684,75";
"01/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"162.175.495,00";"13.431.640,87";"4.245.214,43";"14.932.074,17";
"07/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"1.939.494,93";"14.710.608,11";"18.773.965,18";"14.682.117,15";
"04/2019";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"3.400.988,15";"13.869.483,68";"13.731.614,34";"8.926.110,39";
"08/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"66.277.133,37";"67.026.108,11";"59.810.181,81";"793.031,26";
"03/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"66.157.833,51";"69.908.830,95";"69.838.151,23";"2.079.271,34";
"01/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"92.797.790,28";"72.945.393,24";"20.665.032,23";"63.180.692,26";
"05/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"65.871.802,46";"77.961.831,81";"77.931.015,98";"4.225.832,00";
"02/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"77.716.930,56";"68.373.737,50";"73.027.939,36";"3.370.107,38";
